"questionid";"code";"difficulty";"feedback";"has_feedback";"internet_link";"is_marked";"status";"content";"categoryid"
9;"class Automobile{
   public void drive() {  System.out.println(""Automobile: drive"");   }
}

public class Truck extends Automobile{
   public void drive() {  System.out.println(""Truck: drive"");   }
   public static void main (String args [ ]){
      Automobile  a = new Automobile();
      Truck t  = new Truck();
      a.drive(); //1
      t.drive(); //2
      a = t;     //3
      a.drive(); //4
   }
}


//End of Code";0;"";0;"";0;0;"Given the following classes, what will be the output of compiling and running the class Truck?";1
10;"public class TestClass{
  public static void main(String[] args){
     int x = 1;
     int y = 0;
     if( x/y ) System.out.println(""Good"");
     else  System.out.println(""Bad"");
  }
}";0;"";0;"";0;0;"What will the following program print?";2
11;"class TestClass {
	public static void main(String args[]) {
		String str1 = ""str1"";
		String str2 = ""str2"";
		System.out.println(str1.concat(str2));
		System.out.println(str1);
		
	}
}";0;"";0;"";0;0;"What will be the result of attempting to compile and run the following code?";3
12;"";2;"";0;"";0;0;"Which of the following are true about the enhanced for loop?";4
13;"";2;"";0;"";0;0;"Which of the following are true about the ""default"" constructor?";5
14;"";0;"";0;"";0;0;"Which of the following are true regarding overloading of a method?";6
15;"package algoritmiek;

public class FlowTest {

	static int[] data = { 1, 2, 3, 4, 5 };

	public static void main(String[] args) {
		for (int i : data) {
			if (i < 2) {
				// insert code1 here             
			}
			System.out.print(i);
			if (i == 3) {
				// insert code2 here
			}
		}
	}
}
";0;"";0;"";0;0;"What can be inserted in the following code so that it will print exactly 2345 when compiled and run?";4
16;"";0;"";0;"";0;0;"Which of these statements are true?";5
17;"abstract class Calculator{
   abstract void calculate();
   public static void main(String[] args){
      System.out.println(""calculating"");
      Calculator x = null;
      x.calculate();
   }
}";0;"";0;"";0;0;"What will the following code print when compiled and run?";2
18;"public class TestClass{
  public void testRefs(String str, StringBuilder sb){
    str = str + sb.toString();
    sb.append(str);
    str = null;
    sb = null;
  }
  public static void main(String[] args){
    String s = ""aaa"";
    StringBuilder sb = new StringBuilder(""bbb"");
    new TestClass().testRefs(s, sb);
    System.out.println(""s=""+s+"" sb=""+sb);
  }
}";2;"";0;"";0;0;"What will be the output of the following class:";7
19;"int[] scores = { 1, 2, 3, 4, 5, 6};
System.arraycopy(scores, 2, scores, 3, 2);
for(int i :  scores) System.out.print(i);";2;"";0;"";0;0;"What will the following code print?";8
20;"";0;"";0;"";0;0;"Which of the following is/are valid double values for 10 million? (A million has 6 zeros)";3
21;"int[] array1, array2[];
int[][] array3; 
int[] array4[], array5[]; 


Which of the following are valid statements?";0;"";0;"";0;0;"Consider the following array definitions:";8
22;"class TestClass {
	public static void main(String[] args) {
		System.out.println(""hello"");
	}
}";0;"";0;"";0;0;"The following are the complete contents of TestClass.java file. Which packages are automatically imported?";9
23;"class SomeClass {
	public static void main(String args[]) {
		int size = 10;
		int[] arr = new int[size];
		for (int i = 0; i < size; ++i)
			System.out.println(arr[i]);
	}
}";0;"";0;"";0;0;"What would be the result of compiling and running the following program?";8
24;"String[] dataList = {""x"", ""y"", ""z""};
for (String dataElement : dataList) {
	int innerCounter = 0;
	while (innerCounter < dataList.length) {
		System.out.println(dataElement + "", "" + innerCounter);
		innerCounter++;
		}
	}

How many times will the output contain 2?";0;"";0;"";0;0;"Consider the following code:";4
25;"class A {
	public static void sM1() {
		System.out.println(""In base static"");
	}
}

class B extends A{
		Line 1 :   // public static void sM1() {  System.out.println(""In sub static""); }
		Line 2 :   // public  void sM1() {  System.out.println(""In sub non-static""); }
}
Which of the following statements are true?";0;"";0;"";0;0;"Consider the following classes :";1
26;"";0;"";0;"";0;0;"Which of the following operators can be used in conjunction with a String object?";3
27;"public class TestClass{
  public static void main(String[] args){
    unsigned byte b = 0;
    b--;
    System.out.println(b);
  }
}";0;"";0;"";0;0;"What will the following program print?";3
28;"class Super{
  public String toString(){
     return ""4"";
  }
}
public class SubClass extends Super{
  public String toString(){
     return super.toString()+""3"";
  }
  public static void main(String[] args){
    System.out.println( new SubClass() );
  }
}";0;"";0;"";0;0;"What will the following program print when run?";1
29;"public class X{
	//line 1: insert code here.
}";0;"";0;"";0;0;"Which of the following are valid at line 1?";9
30;"class Super {  }
class Sub extends Super {  }
public class TestClass{
   public static void main(String[] args){
      Super s1 = new Super(); //1
      Sub s2 = new Sub();     //2
      s1 = (Super) s2;        //3
   }
}
Which of the following statements are correct?";0;"";0;"";0;0;"Consider the following program...";1
31;"class StaticTest{
    
    void m1(){
        StaticTest.m2();  // 1
        m4();             // 2
        StaticTest.m3();  // 3
    }
    
    static void m2(){ }  // 4
    
    void m3(){
        m1();            // 5
        m2();            // 6
        StaticTest.m1(); // 7
    }
    
    static void m4(){ }
}
Which of the lines will fail to compile?";0;"";0;"";0;0;"Given:";6
32;"public class Test{
 static String j = """";
 public static void method( int i){
  try{
   if(i == 2){
     throw new Exception();
   }
   j += ""1"";
  }
  catch (Exception e){
   j += ""2"";
   return;
  }
  finally{
   j += ""3"";
  }
  j += ""4"";
 }
 public static void main(String args[]){
  method(1);
  method(2);
  System.out.println(j);
 }
}";0;"";0;"";0;0;"What will the following code print when run?";2
33;"public void method1(int i){
   int j = (i*30 - 2)/100;
   
   POINT1 : for(;j<10; j++){
       boolean flag  = false;
       while(!flag){
	if(Math.random()>0.5) break POINT1;
       }
   }
  while(j>0){
     System.out.println(j--);
     if(j == 4) break POINT1;
   }
}
What will it print? (Assume that Math.random() return a double between 0.0 and 1.0, not including 1.0)";0;"";0;"";0;0;"Consider the following method which is called with an argument of 7:";4
